Jr Jz thetar thetaz thetaphi Jrs Jzs thetasr thetasz thetasphi time
0.0499974 0.550003 0.999989 1.3 1.30002 0.0469221 0.554823 0.96598 1.30737 1.30769 0
0.0499972 0.550003 1.13822 1.42625 1.41061 0.0464626 0.554043 1.10475 1.43352 1.41799 4.18248
0.0499977 0.550002 1.27645 1.5525 1.52118 0.0467577 0.553129 1.25191 1.55889 1.52812 8.36497
0.0499983 0.550002 1.41468 1.67875 1.63176 0.0473946 0.552091 1.40001 1.68375 1.63809 12.5475
0.0499984 0.550002 1.55291 1.80499 1.74234 0.0477602 0.551362 1.54278 1.80861 1.74784 16.7299
0.0499977 0.550003 1.69114 1.93124 1.85292 0.0474673 0.551511 1.67948 1.93378 1.8574 20.9124
0.0499955 0.550005 1.82937 2.05749 1.9635 0.0465108 0.552698 1.81366 2.05924 1.96689 25.0949
0.049999 0.550001 1.96761 2.18374 2.07408 0.0452424 0.55451 1.95009 2.1848 2.07643 29.2774
0.0499983 0.550002 2.10584 2.30999 2.18466 0.0442657 0.556171 2.09174 2.31027 2.1861 33.4599
0.0499979 0.550002 2.24407 2.43624 2.29524 0.044261 0.55694 2.23724 2.43563 2.29593 37.6424
0.0499983 0.550002 2.3823 2.56248 2.40582 0.0456015 0.556492 2.38098 2.56099 2.40595 41.8248
0.0499992 0.550001 2.52053 2.68873 2.5164 0.0478178 0.555039 2.5184 2.68643 2.51627 46.0073
0.0499984 0.550002 2.65876 2.81498 2.62698 0.0494993 0.552964 2.65127 2.81191 2.62696 50.1898
0.049997 0.550003 2.79699 2.94123 2.73757 0.0491089 0.55044 2.786 2.93756 2.73793 54.3723
0.0499975 0.550002 2.93522 3.06748 2.84815 0.0464598 0.547875 2.92683 3.06402 2.84867 58.5548
0.0499989 0.550001 3.07345 3.19373 2.95873 0.0440032 0.546905 3.07057 3.19189 2.9587 62.7373
0.049994 0.550005 3.21168 3.31997 3.06931 0.0447264 0.549068 3.21424 3.31999 3.06854 66.9197
0.0499975 0.550002 3.34991 3.44622 3.17989 0.0472794 0.552802 3.35735 3.44658 3.17905 71.1022
0.0499989 0.550001 3.48814 3.57247 3.29048 0.0486976 0.555798 3.4954 3.57189 3.2901 75.2847
0.0499987 0.550001 3.62637 3.69872 3.40106 0.0482343 0.557214 3.62883 3.69691 3.40115 79.4672
0.0499978 0.550002 3.7646 3.82497 3.51164 0.0467377 0.557034 3.76205 3.82222 3.51188 83.6497
0.0499971 0.550003 3.90283 3.95121 3.62222 0.0453581 0.555577 3.89823 3.94803 3.62216 87.8322
0.0499972 0.550003 4.04106 4.07746 3.7328 0.0448162 0.553479 4.03715 4.07422 3.732 92.0146
0.049998 0.550002 4.17929 4.20371 3.84338 0.0451815 0.551646 4.17659 4.20049 3.8415 96.1971
0.0499988 0.550001 4.31752 4.32996 3.95397 0.0460178 0.550915 4.31524 4.32647 3.95084 100.38
0.0499939 0.550005 4.45577 4.4562 4.06453 0.0467171 0.551577 4.45412 4.45188 4.06024 104.562
0.0499949 0.550004 4.594 4.58245 4.17511 0.0468531 0.55313 4.59552 4.57673 4.16989 108.745
0.0499944 0.550005 4.73223 4.7087 4.28569 0.0464187 0.554515 4.74053 4.70139 4.2799 112.927
0.0499932 0.550007 4.87047 4.83495 4.39626 0.0458438 0.554861 4.88676 4.8264 4.39017 117.11
0.049993 0.550008 5.0087 4.9612 4.50684 0.0457595 0.554318 5.02848 4.95226 4.50053 121.292
0.0499946 0.550007 5.14692 5.08745 4.61743 0.0464901 0.553925 5.16172 5.07893 4.61098 125.475
0.0499961 0.550005 5.28514 5.2137 4.72802 0.0473239 0.553756 5.29032 5.20562 4.72183 129.657
0.0499944 0.550006 5.42337 5.33995 4.8386 0.0465411 0.551859 5.42321 5.33173 4.83317 133.839
0.0499907 0.550007 5.5616 5.4662 4.94918 0.0448052 0.549449 5.56585 5.45859 4.94418 138.022
