Jr Jz thetar thetaz Jrs Jzs time
0.0499925 0.550009 0.999963 1.3 0.0464222 0.555961 0
0.0499919 0.550009 1.06279 1.35519 0.0461444 0.555875 1.10298
0.0499919 0.550009 1.12562 1.41037 0.0460806 0.555888 2.20596
0.0499923 0.550008 1.18845 1.46556 0.046209 0.555883 3.30894
0.0499929 0.550007 1.25129 1.52074 0.0464799 0.555764 4.41192
0.0499934 0.550006 1.31413 1.57593 0.0468287 0.555482 5.5149
0.0499938 0.550006 1.37696 1.63111 0.0471847 0.555049 6.61788
0.0499939 0.550006 1.43979 1.68629 0.0474782 0.554522 7.72085
0.0499937 0.550006 1.50263 1.74148 0.0476478 0.553988 8.82383
0.049993 0.550007 1.56546 1.79666 0.047646 0.553546 9.92681
0.0499915 0.550009 1.62828 1.85185 0.0474439 0.553286 11.0298
0.0499986 0.550002 1.69115 1.90703 0.0470329 0.553278 12.1328
0.049998 0.550002 1.75398 1.96221 0.0464243 0.553563 13.2358
0.0499971 0.550004 1.81681 2.0174 0.0456483 0.554148 14.3387
0.0499955 0.550006 1.87963 2.07258 0.0447517 0.555004 15.4417
0.0499935 0.550008 1.94246 2.12777 0.0437954 0.556071 16.5447
0.0499906 0.550012 2.00529 2.18295 0.0428531 0.557265 17.6477
0.0499978 0.550003 2.06814 2.23813 0.0420083 0.558482 18.7506
0.0499972 0.550004 2.13097 2.29332 0.0413519 0.559611 19.8536
0.0499966 0.550004 2.1938 2.3485 0.0409747 0.560546 20.9566
0.0499962 0.550005 2.25664 2.40368 0.0409571 0.561195 22.0596
0.0499962 0.550005 2.31947 2.45887 0.0413526 0.561499 23.1626
0.0499965 0.550004 2.3823 2.51405 0.0421694 0.561439 24.2655
0.0499971 0.550003 2.44514 2.56924 0.0433538 0.561036 25.3685
0.0499978 0.550003 2.50797 2.62442 0.044783 0.560346 26.4715
0.0499926 0.550008 2.57081 2.67961 0.0462698 0.559434 27.5745
0.0499952 0.550005 2.63364 2.73479 0.0475819 0.558354 28.6775
0.0499967 0.550003 2.69647 2.78997 0.0484703 0.55713 29.7804
0.049997 0.550003 2.7593 2.84516 0.0487055 0.555755 30.8834
0.0499952 0.550005 2.82213 2.90034 0.0481183 0.554207 31.9864
0.0499976 0.550002 2.88496 2.95553 0.0466534 0.55249 33.0894
0.0499939 0.550005 2.94779 3.01071 0.0444449 0.550689 34.1924
0.0499964 0.550003 3.01062 3.06589 0.0419142 0.549037 35.2953
0.0499925 0.550005 3.07345 3.12108 0.0398204 0.547947 36.3983
0.049997 0.550002 3.13628 3.17626 0.0390339 0.547858 37.5013
0.0499917 0.550006 3.19911 3.23145 0.0399163 0.5489 38.6043
0.0499954 0.550004 3.26194 3.28663 0.0419752 0.550738 39.7073
0.0499915 0.550007 3.32477 3.34182 0.0443401 0.552875 40.8102
0.049996 0.550004 3.38761 3.397 0.046331 0.554943 41.9132
0.0499978 0.550002 3.45044 3.45218 0.0476058 0.556765 43.0162
0.0499932 0.550007 3.51326 3.50737 0.0480833 0.558284 44.1192
0.0499929 0.550008 3.5761 3.56255 0.0478431 0.559503 45.2221
0.049998 0.550002 3.63893 3.61774 0.0470536 0.560436 46.3251
0.0499973 0.550003 3.70177 3.67292 0.0459223 0.561086 47.4281
0.0499963 0.550004 3.7646 3.7281 0.0446613 0.561445 48.5311
0.0499956 0.550005 3.82743 3.78329 0.0434609 0.561493 49.6341
0.049995 0.550006 3.89026 3.83847 0.0424703 0.561219 50.737
0.0499948 0.550006 3.9531 3.89366 0.041788 0.560629 51.84
0.0499951 0.550006 4.01593 3.94884 0.0414594 0.559759 52.943
0.0499957 0.550005 4.07876 4.00402 0.0414828 0.558678 54.046
0.0499966 0.550004 4.1416 4.05921 0.0418192 0.557478 55.149
0.0499974 0.550003 4.20443 4.11439 0.0424044 0.556267 56.2519
0.0499982 0.550002 4.26726 4.16958 0.0431599 0.555157 57.3549
